SpEv,site,rep,distance,station,transect,dist_stat,plant_no,pot_no,counts_p1,counts_p2,counts_p3,counts_p4,counts_p5,degrees,mean_pot_count
Horsham Irrg 2,pbc,2,0,4,10,0m_4,5,7,3,2,3,2,3,135,2.6
Horsham Irrg 2,pbc,2,25,2,2,25m_2,5,19,3,2,2,1,0,55,1.6
Horsham Irrg 2,pbc,2,25,4,4,25m_4,5,24,3,3,1,1,4,75,2.4
Horsham Irrg 2,pbc,2,25,10,10,25m_10,5,35,3,0,3,0,0,135,1.2
Horsham Mixd 1,pbc,3,0,3,7,0m_3,5,6,3,4,7,5,7,105,5.2
Horsham Mixd 1,pbc,3,10,1,1,10m_1,5,10,3,2,3,3,0,45,2.2
Horsham Mixd 1,pbc,3,10,2,4,10m_2,5,12,3,1,1,2,0,75,1.4
Horsham Mixd 1,pbc,3,10,4,10,10m_4,5,16,3,0,1,4,6,135,2.8
Horsham Mixd 1,pbc,3,25,2,2,25m_2,5,20,3,0,0,1,0,55,0.8
Horsham Mixd 1,pbc,3,25,6,6,25m_6,5,28,3,1,3,2,3,95,2.4
Horsham Rain 2,Horsham,2,0,2,4,0m_2,5,4,3,2,3,5,2,75,3
Horsham Rain 2,Horsham,2,0,3,7,0m_3,5,6,3,4,2,2,0,105,2.2
Horsham Rain 2,Horsham,2,0,4,10,0m_4,5,7,3,0,1,4,4,135,2.4
Horsham Rain 2,Horsham,2,10,2,4,10m_2,5,11,3,2,2,3,2,75,2.4
Horsham Rain 2,Horsham,2,10,2,4,10m_2,5,12,3,2,2,1,0,75,1.6
Horsham Rain 2,Horsham,2,25,2,2,25m_2,5,20,3,2,2,3,1,55,2.2
Curyo Rain 1,Curyo,1,0,1,1,0m_1,5,2,3,0,0,2,3,290,1.6
Curyo Rain 1,Curyo,1,0,2,4,0m_2,5,4,3,3,0,5,9,320,4
Curyo Rain 1,Curyo,1,0,3,7,0m_3,5,6,3,2,0,1,2,350,1.6
Curyo Rain 1,Curyo,1,0,4,10,0m_4,5,8,3,2,0,3,NA,20,2
Curyo Rain 1,Curyo,1,10,3,7,10m_3,5,13,3,1,3,0,0,350,1.4
Horsham Irrg 2,pbc,2,0,3,7,0m_3,5,6,4,3,4,1,5,105,3.4
Horsham Irrg 2,pbc,2,0,4,10,0m_4,5,8,4,2,5,1,0,135,2.4
Horsham Irrg 2,pbc,2,25,5,5,25m_5,5,26,4,3,1,NA,NA,85,2.6666666666666665
Horsham Irrg 2,pbc,2,25,6,6,25m_6,5,28,4,5,1,3,2,95,3
Horsham Irrg 2,pbc,2,25,7,7,25m_7,5,29,4,0,0,2,0,105,1.2
Horsham Irrg 2,pbc,2,25,9,9,25m_9,5,33,4,3,0,1,2,125,2
Horsham Irrg 2,pbc,2,50,3,3,50m_3,3,39,4,0,1,NA,NA,65,1.6666666666666667
Horsham Mixd 1,pbc,3,0,2,4,0m_2,5,3,4,1,8,7,3,75,4.6
Horsham Mixd 1,pbc,3,0,2,4,0m_2,5,4,4,3,11,9,5,75,6.4
Horsham Mixd 1,pbc,3,0,4,10,0m_4,5,8,4,5,1,1,0,135,2.2
Horsham Mixd 1,pbc,3,10,3,7,10m_3,5,13,4,3,3,4,1,105,3
Horsham Mixd 1,pbc,3,25,1,1,25m_1,5,17,4,3,0,1,2,45,2
Horsham Mixd 1,pbc,3,25,7,7,25m_7,5,30,4,2,0,4,0,105,2
Horsham Irrg 1,pbc,1,0,2,4,0m_2,5,4,5,3,1,3,2,75,2.8
Horsham Irrg 1,pbc,1,25,2,2,25m_2,5,20,5,0,0,0,1,55,1.2
Horsham Irrg 2,pbc,2,0,2,4,0m_2,5,3,5,2,4,2,2,75,3
Horsham Irrg 1,pbc,1,10,4,10,10m_4,5,16,6,3,2,3,2,135,3.2
Horsham Irrg 2,pbc,2,25,1,1,25m_1,5,18,6,1,2,3,1,45,2.6
Horsham Mixd 1,pbc,3,0,3,7,0m_3,5,5,11,4,9,4,14,105,8.4
Horsham Mixd 1,pbc,3,0,4,10,0m_4,5,7,12,4,3,11,5,135,7
Curyo Rain 1,Curyo,1,25,4,4,25m_4,5,23,NA,NA,NA,NA,NA,320,NaN
Curyo Rain 1,Curyo,1,25,4,4,25m_4,5,24,NA,NA,NA,NA,NA,320,NaN
